4210.0000,0.0000,13.0000,1944.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21.0000,0.0000,93.0000,0.0000,868.0000,0.0000,856.0000,221.0000,0.0000,1066.0000
0.0000,0.0000,2968.0000,2487.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,38.0000,899.0000,510.0000,1.0000,1363.0000,0.0000,57.0000,174.0000,78.0000
26.0000,0.0000,4.0000,0.0000,0.0000,3632.0000,0.0000,0.0000,4530.0000,15.0000
742.0000,109.0000,129.0000,0.0000,30.0000,1.0000,2305.0000,0.0000,22.0000,3.0000
0.0000,100.0000,0.0000,19.0000,1.0000,0.0000,3.0000,4394.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,3575.0000,4.0000,10.0000,328.0000,273.0000,0.0000
0.0000,4753.0000,0.0000,5.0000,382.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,894.0000,35.0000,143.0000,0.0000,1826.0000,0.0000,1.0000,3838.0000
